1604231101275,3
1604232126300,2
1604232901297,1
1604233790143,2
1604233800996,0
1604234690433,1
1604234701368,2
1604235591313,1
1604235600913,2
1604236501385,1
1604237761335,2
1604238306420,0
1604240103914,1
1604241005437,3
1604242470099,2
1604242804517,1
1604243703762,2
1604244603161,3
1604245503703,2
1604246403530,2
1604247301521,1
1604248269348,2
1604249742018,2
1604250003742,1
1604250903434,2
1604251806335,2
1604252975828,1
1604253879497,0
1604254861383,2
1604255754645,1
1604256421373,2
1604257990519,2
1604258892500,3
1604259524832,3
1604260059694,3
1604261640840,3
1604262632635,2
1604262632712,2
1604263880182,1
1604264556593,2
1604265481802,2
1604266390597,0
1604267234888,1
1604268485235,2
1604269456495,2
1604270364679,0
1604270881775,2
1604272086071,2
1604272682393,2
1604273890513,2
1604274304877,3
1604275201471,2
1604276112356,3
1604277004231,2
1604277904083,2
1604278810249,2
1604279701491,2
1604280922981,1
1604281694643,1
1604282890433,2
1604283800604,2
1604284255408,2
1604285102523,2
1604286002017,3
1604286901820,1
1604287802077,2
1604288705029,0
1604289605701,2
1604290504275,1
1604291407030,1
